species,treatment,salinity,fresh,height,dry,survival
bgymnorhiza,u,50,36.652,32.5,10.809,Y
bgymnorhiza,u,50,38.72,23.1,11.255,Y
bgymnorhiza,u,50,50.93,36.8,15.191,Y
bgymnorhiza,u,50,50.802,36.9,15.835,Y
bgymnorhiza,u,50,76.399,43.3,21.071,Y
bgymnorhiza,u,75,26.384,30.3,8.386,Y
bgymnorhiza,u,75,31.489,27.8,10.65,Y
bgymnorhiza,u,75,36.272,28.4,10.869,Y
bgymnorhiza,u,75,38.663,34.2,13.581,Y
bgymnorhiza,u,75,41.111,32.2,13.697,Y
bgymnorhiza,u,75,45.648,37,13.982,Y
bgymnorhiza,u,75,50.322,35.7,14.845,Y
bgymnorhiza,u,100,NA,NA,NA,N
bgymnorhiza,u,100,12.45,14.5,3.762,Y
bgymnorhiza,u,100,26.872,29.3,8.552,Y
bgymnorhiza,u,100,28.193,29.1,8.661,Y
bgymnorhiza,u,100,29.227,28,9.41,Y
bgymnorhiza,u,100,30.519,21.2,9.747,Y
bgymnorhiza,u,100,35.338,28.2,11.565,Y
